生活習慣によって引き起こされる認知症は次のうちどれか？,0,脳血管性認知症,アルツハイマー型認知症,レビー小体型認知症,前頭側頭型認知症,正解：脳血管性認知症,認知症の約２０％はこの認知症です。脳梗塞や脳出血などの脳の血管障害によって起こる認知症です。
認知症の中核症状は何によって起こる症状か？,0,脳の神経細胞の破壊により起こる,初期症状の次に起こる,脳の中心部まで達した症状,寝たきりの症状,正解：脳の神経細胞の破壊,中核症状の代表的な症状は記憶障害。
次のうち、見当識障害の症状として当てはまらないものはどれか？,2,判断能力の低下,時間が分からなくなる,昔の記憶,名前が分からなくなる,正解：昔の記憶,見当識障害とは、現在の自分や自分が置かれている状況が正常に分からない状態。
認知症の周辺症状のうち、当てはまらないものはどれか？,1,妄想,長時間の睡眠,暴力,徘徊,正解：長時間の睡眠,周辺症状はその人の性格や環境などが影響して起こります。それで、症状は人それぞれ違います。
痴呆症から認知症に名称が変更された理由として正しいものを選べ,3,症状を的確表すため,時代とともに変更した,なんとかく雰囲気で変えた,「痴呆症」という言葉が差別的なため,正解：「痴呆症」が差別的なため,２００４年に厚生労働省の検討チームが、名称を公募して決めました。
認知症の症状としての物忘れとして正しいものはどれか？,2,約束した場所に行き忘れた,印鑑をしまった場所を忘れた,昼食を食べたことを忘れた,先ほど会った人の名を忘れた,正解：昼食を食べたことを忘れた,認知症の場合、体験自体を喪失していることが特長です。
手浴・足浴の効果として保清以外で期待できるのは次のうちどれか？,1,ガン予防,気持ちを落ち着かせる,認知症予防,眼病予防,正解：気持ちを落ち着かせる,それで、マメに行うと良いようです。
よく噛むことの効果として間違っているものはどれか？,3,胃腸の働きを促進,肥満の防止,虫歯の予防,眼精疲労の回復,正解：眼精疲労の回復,よく噛むと唾液の分泌が増え、唾液の抗菌作用で口の中が清潔になり、口臭予防の効果も期待できます。
よく噛むことの効果として間違っているものはどれか？,2,脳の働きを活発にする,全身体力の向上,字が上手になる,ガン予防,正解：字が上手になる,噛むことで脳への血流が増加し、働きを活発にすることができます。
片麻痺の方の口腔ケアとして正しいものはどれか？,0,麻痺側を念入りにする,麻痺のない側を念入りにする,麻痺側は軽く済ます,麻痺がある場合ケアはしない,正解：麻痺側を念入りにする,麻痺側は食物残渣が残りやすく、痰も滞留しやすくなります。
仰向けに寝ることを何というか？,0,仰臥位,側臥位,腹臥位,座位,正解：仰臥位,そのように言います。
横向きに寝ることを何というか？,1,仰臥位,側臥位,腹臥位,座位,正解：側臥位,そのように言います。
うつ伏せに寝ることを何というか？,2,仰臥位,側臥位,腹臥位,座位,正解：腹臥位,そのように言います。
「安楽体位」の説明として正しいものを選べ。,0,長時間　楽な姿勢,湯船に浸かった姿勢,お姫様だっこされた状態,鉄棒にぶら下がった状態,正解：長時間　楽な姿勢,そのように言います。
体位交換の基準として一般的に言われているのは次のうちどれか。,1,１時間に１回は行う,２時間に１回は行う,３時間に１回は行う,４時間に１回は行う,正解：２時間に１回は行う,麻痺のある方は、麻痺の側を長時間下にしないようにします。
寝たきり状態の弊害として当てはまらないものを選べ,1,関節の拘縮,異常な食欲,筋力の低下,骨粗鬆症,正解：異常な食欲,起立性低血圧を起こす場合もあります。
寝たきり状態の弊害として当てはまらないものを選べ,2,心肺機能の低下,便秘,テンションが上がる,褥瘡,正解：テンションが上がる,脳の働きが低下して、認知症を招くという弊害もあります。
介護者のボディメカニクスとは何か？,3,科学を活用した介護技術,航空学を活用した介護技術,医学を活用した介護技術,力学原理を活用した介護技術,正解：力学原理を活用した介護技術,ボディメカニクスの理解は、最小の労力で疲労の少ない介助へとつながります。
次のうち介護者のボディメカニクスとして正しいものはどれか？,0,重心を低くする,できるだけ背伸びする,力まかせで介護する,介護ロボットを使用する,正解：重心を低くする,足を開き、膝を曲げ、腰を落とす姿勢が、安全で安定した介護につながります。
次のうち介護者のボディメカニクスとして正しいものはどれか？,2,おんぶで移動する,柳のようにしなやかに介護する,利用者にできる限り接近する,利用者にできるだけ近づかない,正解：利用者にできるだけ接近する,そうすることで介護者の負担を軽くすることができます。
次のうち介護者のボディメカニクスとして正しいものはどれか？,1,体をそって介助する,体をねじらない,タオルを使った身体介護,風を利用した介護,正解：体をねじらない,体をねじると不安定になり、腰痛の原因となります。
次のうち介護者のボディメカニクスとして正しいものはどれか？,3,重力を利用した介護,音を応用した介護,数学を利用した介護,てこの原理を応用,正解：てこの原理を応用,持ち上げるのではなく、シーソーのように支点を作り、体重をかけることで、軽い負担で介助できます。
とりみ剤として片栗粉を使わない理由として正しいものはどれか？,1,しょっぱくなる,冷めるとゆるくなる,色がゴージャスになる,もちもちになる,正解：冷めるとゆるくなる,冷めるとゆるくなり、食感ももっちりするため飲みにくくなるので、とりみ剤としては不適切。
とろみ剤として片栗粉を使わない理由として正しいものはどれか？,1,雑菌でとろみが消える,唾液でとろみが消える,興奮するととろみが消える,澱粉が嫌いな人がいる,正解：唾液でとろみが消える,片栗粉のとろみは唾液で消えてしまい、誤嚥につながります。
側臥位にするときに利用者に対して正しい動作はどれか？,2,靴下を履かせる,ベッド柵を持ってもらう,ひざを立てる,ベッドの頭を上げる,正解：ひざを立てる,ひざを立てるなら、利用者にも負担なく側臥位にすることができます。
側臥位にするときに利用者に対して正しい動作はどれか？,3,腕を広げる,足をタオルでくるむ,いちにのさん！とタイミングを合わせる,腕を組む,正解：腕を組む,利用者の腕を組むことでコンパクトになり側臥位にしやすくなります。また、うでが引っかかるなどの事故を防ぐことができます。
高齢者との良いコミュニケーションで当てはまらないものはどれか？,1,相づちを打つ,早口で話す,低めの声で話す,ゆっくり話す,正解：早口で話す,早口で話すなら理解していただけないかもしれません。相手の話をよく聴き、肩に手を添えるなどのスキンシップを交えて話すこともできます。
第一印象を決定付ける要員として、見た目・態度は何％を占めているか？,3,55%,65%,75%,85%,正解：８５％,一度もたれた印相はなかなか修正されることはありません。ぜひ、気をつけたいと思います。
第一印象を決定付ける要員として、声のトーン・話の内容は何％を占めているか？,0,15%,25%,35%,45%,正解：１５％,印象が薄いからとって、どうでもいいということはないでしょう。
経皮感染の説明として正しいものはどれか？,2,皮膚による接触,粘膜からの感染,傷口からの感染,動物からの感染,正解：傷口からの感染,破傷風や狂犬病は経皮感染です。
高齢者に多い、日和見感染とは何か？,1,なんとなく感染,弱毒病原体による感染,複数の菌に同時に感染,流行病にかかる,正解：弱毒病原体に感染,通常なら感染しないような弱毒病原体に感染することを言います。どこにでもある病原体が、宿主の抵抗力が弱くなっているときに発症します。
MRSAはどのような症状を引き起こすか？,1,食欲不振,肺炎,頭痛,めまい,正解：肺炎,MRSAは重症の肺炎などを引き起こします。
疥癬にかかった患者のかゆみが強くなるのはいつか？,2,朝,昼,夜,いつも同じ,正解：夜,夜にかゆみが増すと言われています。
ノロウイルスの感染源として当てはまるものは何か？,3,里芋,卵,大根,貝,正解：貝,感染したヒトの排泄物や嘔吐物からも感染します。
ノロウイルスの潜伏期間として正しいものはどれか？,0,１〜２日,２〜３日,３〜４日,４〜５日,正解：１〜２日,感染力は非常に強いです。
シーツ交換の必要性として正しくないものはどれか？,2,褥瘡予防,清潔の保持,決められているからやるだけ,寝心地が良い,正解：決められているからやるだけ,なぜ必要かを意識して行うならシーツ交換をより効果的に行う助けになります。
環境整備として当てはまらないものはどれか？,1,安全,居心地が悪い,動作しやすい,快適,正解：居心地が悪い,快適であることの中には、適切な明るさ・湿度・温度・十分な換気・静かさなどが含まれます。
介護老人保健施設の説明として当てはまるものはどれか？,0,リハビリを中心としている,寝たきりの方が中心の施設,介護保険を使用しない施設,お金があれば誰でも入所できる,正解：リハビリを中心としている,リハビリを中心とした医療サービスを提供し、在宅復帰を目的とした施設。
高齢者が寝たきりになる原因のトップは次のうちどれか？,1,認知症,脳血管障害,骨折,活力の低下,正解：脳血管障害,２番目が骨折です。
褥瘡になりかけている場合、行なってはいけないことは次のうちどれか？,2,エアットにする,頻繁に体位交換する,マッサージ,医師に相談する,正解：マッサージ,マッサージすると褥瘡になりかけている部分の組織をさらに痛める可能性があります。
６５歳以上で要支援や要介護になるおそれのある高齢者を何と呼ぶか？,1,特別優待高齢者,特定高齢者,スーパー高齢者,超高齢者,正解：特定高齢者,すべての６５歳以上の高齢者を一般高齢者と呼びます。
三福祉士に含まれていない資格はどれか？,2,介護福祉士,社会福祉士,看護師,精神保健福祉士,正解：看護師,三福祉士はすべて国家資格です。
社会福祉士とはなにか？,0,ソーシャルワーカー,介護保険外で介護する仕事,社会的な立場で福祉を変えていく,介護福祉士の上位資格,正解：ソーシャルワーカー,高齢者、母子、障害者、医療機関など福祉の全分野を担い、あらゆるサポートをする仕事です。
理学療法とは何か？,0,運動療法や物理療法,先端化学を用いた療法,理科の実験に似た療法,光を使った療法,正解：運動療法や物理療法,理学療法士は医師の指示のもとに実施します。疾患や病態により、個人に合ったリハビリを実施します。
作業療法とは何か？,3,入院から自宅に戻ること,何でも自分でやるようにすること,工場などの作業を手伝うこと,作業を通じた改善法,正解：作業を通じた改善法,主に、日常生活や社会生活を円満に実施できるように、作業を通じて機能の回復、維持、改善などを図ります。
痰の色が透明、または白色の場合考えられる原因は何か？,0,気管支炎,蓄膿,肺がん,結核,正解：気管支炎,痰の色が透明白色の場合、気管支炎の他に細菌以外の感染の可能性や気管支喘息の場合もあります。
痰の色が黄色の場合に考えられる原因は何か？,1,緑膿菌,気道の感染,心不全,肺うっ血,正解：気道の感染,気道の感染の時に見られます。また、感染症以外には、慢性気管支炎や気管支喘息などの場合にも黄色の痰が出ます。
痰の色が緑色または黄緑色の場合に考えられる原因は何か？,2,肺梗塞,肺がん,緑膿菌,気管支拡張症,正解：緑膿菌,緑膿菌などの感染症や蓄膿症などの時に見られます。
痰の色が褐色の場合に考えられる原因は何か？,3,心不全,緑膿菌,肺うっ血,肺がん,正解：肺がん,褐色とは、やや黒みをおびた茶色です。肺がんの他にも気管支拡張症、肺結核、肺梗塞のときにも見られます。
痰の色が錆色の場合に考えられる原因は何か？,1,肺がん,感染による肺炎,肺梗塞,結核,正解：肺炎球菌肺炎,錆色とは、鉄についた錆のような色、赤みがかった褐色です。感染による肺炎の他に、肺化膿症、心不全、肺うっ血などのときに見られます。
痰の色がピンク色の場合に考えられる原因は何か？,0,肺うっ血,結核,気道の感染,気管支喘息,正解：肺うっ血,肺うっ血以外では、心不全のときに見られます。
痰の色が鮮紅色の場合に考えられる原因は何か？,0,肺結核,蓄膿症,緑膿菌,細菌以外の感染,正解：肺結核,鮮紅色とは、鮮やかな赤色、多量の血液を含む色です。肺結核の他に、肺がん、気管支拡張症のときにも見られます。
よく咳き込むことにより痰に血液が混ざる場合の特徴として正しいものはどれか？,3,痰の色が全体に赤い,痰の中心に血液が混ざる,痰とは別の塊で血液が出る,血液が数回で消失する,正解：血液が数回で消失する,咳が長く続いたり、強い咳払いや咳が続くと、気道の粘膜が傷つき出血することがあります。数回で消失することがほとんどです。もし、繰り返し起こるようであれば医師による診察が必要です。
活動レベルが低い７０歳以上の高齢者の男性が１日に必要とされるカロリーの目安として正しいものはどれか？,0,１，８５０kcal,１，９５０kcal,２，０５０kcal,２，１５０kcal,正解：１，８５０kcal,活動レベルが普通の男性高齢者（７０歳以上）は２，２００kcalが目安です。
活動レベルが低い７０歳以上の高齢者の女性が１日に必要とされるカロリーの目安として正しいものはどれか？,2,１，２５０kcal,１，３５０kcal,１，４５０kcal,１，５５０kcal,正解：１，４５０kcal,活動レベルが普通の女性高齢者（７０歳以上）は１，７００kcalが目安です。
